"Lab_Number","Station_ID","Sample_Date","Sample_Year","Sample_Month","Vol_filtered_mL","Chla_mg.m3","Chlb_mg.m3","Chlc_mg.m3","Pheophytin","Chla_Pheo_664.665a"
220075,"A-BHC-S",2022-01-11,"2022","January",750,12.6346666666667,1.62106666666667,1.62826666666667,2.1716,1.58490566037736
220076,"A-D-S",2022-01-11,"2022","January",950,1.30557894736842,0.35,0.35,0.35,1.57142857142857
220077,"A-M-S",2022-01-11,"2022","January",1000,4.4141,0.3768,0.567500000000001,1.3884,1.5
220078,"B-BC-S",2022-01-10,"2022","January",770,9.01415584415584,0.35,1.04012987012987,NA,NA
220079,"B-D-S",2022-01-10,"2022","January",950,2.95042105263158,0.588736842105263,0.567263157894737,NA,NA
220080,"B-M-S",2022-01-10,"2022","January",660,3.34787878787879,1.21848484848485,1.31454545454545,1.53727272727273,1.42857142857143
220081,"B-MBL-S",2022-01-10,"2022","January",800,3.227625,0.60525,0.503875,1.969125,1.35294117647059
220082,"R-CRS-S",2022-01-10,"2022","January",960,1.7696875,0.35,0.35,0.35,1.66666666666667
220083,"R-D-S",2022-01-10,"2022","January",970,1.38412371134021,0.35,0.35,0.35,1.71428571428571
220084,"R-M-S",2022-01-10,"2022","January",940,1.80648936170213,0.35,0.35,0.35,1.66666666666667
220085,"R-WH-S",2022-01-10,"2022","January",950,5.47505263157895,0.35,1.15,0.730736842105263,1.60714285714286
230126,"A-BHC-S",2023-01-18,"2023","January",950,5.594,0.547473684210526,0.732947368421052,2.55757894736842,1.42424242424242
230127,"A-D-S",2023-01-18,"2023","January",945,0.375343915343915,0.35,0.35,0.593333333333333,1
230128,"A-M-S",2023-01-18,"2023","January",970,1.61175257731959,0.407422680412371,0.35,0.357835051546391,1.55555555555556
230129,"A-TMI-S",2023-01-18,"2023","January",920,0.607934782608696,0.35,0.543586956521739,0.522391304347826,1.25
230130,"B-BC-S",2023-01-17,"2023","January",1000,1.2233,0.3478,0.4171,1.1481,1.22222222222222
230131,"B-D-S",2023-01-17,"2023","January",1000,2.5967,0.35,0.7243,2.4831,1.21052631578947
230132,"B-M-S",2023-01-17,"2023","January",950,2.01905263157895,0.35,0.511684210526316,1.43336842105263,1.30769230769231
230133,"B-MBL-S",2023-01-17,"2023","January",935,2.66780748663102,0.35,0.611550802139038,0.999465240641712,1.46666666666667
230134,"C-BCF-S",2023-01-19,"2023","January",950,3.09221052631579,0.35,0.371578947368421,2.72621052631579,1.23809523809524
230135,"C-BD-S",2023-01-19,"2023","January",950,0.715157894736842,0.35,0.35,2.61378947368421,0.666666666666667
230136,"C-D-S",2023-01-19,"2023","January",960,3.16739583333333,0.4971875,0.35,0.528437499999999,1.58823529411765
230137,"C-M-S",2023-01-19,"2023","January",1000,1.6827,0.3675,0.35,1.8957,1.15384615384615
230138,"GR-D-S",2023-01-19,"2023","January",930,67.3683870967742,20.3436559139785,0.589462365591401,22.1638709677419,1.49468085106383
230139,"R-CRS-S",2023-01-18,"2023","January",950,2.46936842105263,0.652,0.35,5.08705263157895,0.91304347826087
230140,"R-D-S",2023-01-18,"2023","January",930,0.967096774193548,0.35,0.402150537634409,1.11967741935484,1.14285714285714
230141,"R-M-S",2023-01-18,"2023","January",970,1.12309278350515,0.631340206185567,0.368865979381443,0.990927835051546,1.25
230142,"R-WH-S",2023-01-18,"2023","January",970,1.27865979381443,0.35,0.35,0.715670103092784,1.375
230143,"S-BC-S",2023-01-18,"2023","January",960,5.84104166666667,1.220625,0.611875,2.169375,1.47058823529412
230144,"S-BR-S",2023-01-18,"2023","January",1000,8.1433,2.2869,0.7625,5.0196,1.35185185185185
