"Sample_Date","Sample_Year","Sample_Month","Sample_Time","Site","Station_ID","Deg_C","mmHg","DO_percent","DO_mg.L","SPC_uS.cm","pH","pH_mV","DEP_m"
2021-02-02,"2021","February","03:28:25PM","APACHE Site 1 Dam 30M","A-D","24.1",710.7,94.4,7.93,11.4,7.57,-60.3,0
2021-02-02,"2021","February","03:28:25PM","APACHE Site 1 Dam 30M","A-D","24.1",710.7,94.4,7.93,11.4,7.57,-60.3,0
2021-02-02,"2021","February","03:29:03PM","APACHE Site 1 Dam 30M","A-D","11.8",710.7,83.5,9,1346,8.08,-87.9,1.11
2021-02-02,"2021","February","03:29:03PM","APACHE Site 1 Dam 30M","A-D","11.8",710.7,83.5,9,1346,8.08,-87.9,1.11
2021-02-02,"2021","February","03:29:38PM","APACHE Site 1 Dam 30M","A-D","11.6",710.7,82.3,8.93,1342,8.03,-85,2.063
2021-02-02,"2021","February","03:29:38PM","APACHE Site 1 Dam 30M","A-D","11.6",710.7,82.3,8.93,1342,8.03,-85,2.063
2021-02-02,"2021","February","03:29:58PM","APACHE Site 1 Dam 30M","A-D","11.5",710.7,81.9,8.89,1342,8.01,-83.5,3.01
2021-02-02,"2021","February","03:29:58PM","APACHE Site 1 Dam 30M","A-D","11.5",710.7,81.9,8.89,1342,8.01,-83.5,3.01
2021-02-02,"2021","February","03:30:34PM","APACHE Site 1 Dam 30M","A-D","11.3",710.7,80.7,8.79,1342,7.95,-80,4.059
2021-02-02,"2021","February","03:30:34PM","APACHE Site 1 Dam 30M","A-D","11.3",710.7,80.7,8.79,1342,7.95,-80,4.059
2021-02-02,"2021","February","03:30:54PM","APACHE Site 1 Dam 30M","A-D","11.3",710.6,80.2,8.75,1341,7.9,-77.2,5.055
2021-02-02,"2021","February","03:30:54PM","APACHE Site 1 Dam 30M","A-D","11.3",710.6,80.2,8.75,1341,7.9,-77.2,5.055
2021-02-02,"2021","February","03:31:48PM","APACHE Site 1 Dam 30M","A-D","11.2",710.6,79.5,8.7,1341,7.85,-74.7,7.011
2021-02-02,"2021","February","03:31:48PM","APACHE Site 1 Dam 30M","A-D","11.2",710.6,79.5,8.7,1341,7.85,-74.7,7.011
2021-02-02,"2021","February","03:32:14PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79.4,8.69,1341,7.84,-74.3,8.017
2021-02-02,"2021","February","03:32:14PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79.4,8.69,1341,7.84,-74.3,8.017
2021-02-02,"2021","February","03:33:04PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79.3,8.69,1341,7.84,-74.3,9.013
2021-02-02,"2021","February","03:33:04PM","APACHE Site 1 Dam 30M","A-D","11.1",710.7,79.3,8.69,1341,7.84,-74.3,9.013
