"Lab_number","State","Water_body","Location","Station_ID","Sample_Date","Sample_Year","Sample_Month","Veligers_Observed","Veligers_L","Microscopy_result","QuaggaMusselPCRType","ZebraMusselPCRType","DNASequencingResultType"
210021,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210022,"AZ","Bartlett Reservoir","DAM","B-D",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210023,"AZ","Bartlett Reservoir","MARINA","B-M",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210024,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210027,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210028,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210029,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210030,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-02-02,"2021","February","0","0","Negative","Negative","Negative","Not Tested"
210055,"AZ","Apache Lake","DAM","A-D",2021-02-02,"2021","February","0","0","Negative","Not Tested","Not Tested","Not Tested"
210056,"AZ","Apache Lake","DAM 5 M","A-D",2021-02-02,"2021","February","926","0.52400880818878248","Positive","Not Tested","Not Tested","Not Tested"
210057,"AZ","Apache Lake","MARINA","A-M",2021-02-02,"2021","February","13370","2.5219574389791299","Positive","Not Tested","Not Tested","Not Tested"
210058,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-02-02,"2021","February","2450","0.36484641925159633","Positive","Not Tested","Not Tested","Not Tested"
210059,"AZ","Apache Lake","THREE MILE","A-TMI",2021-02-02,"2021","February","3470","1.4025845143590523","Positive","Not Tested","Not Tested","Not Tested"
210060,"AZ","Granite Reef Diversion Dam","DOCK","GR-D",2021-02-03,"2021","February","0","0","Negative","Positive","Negative","Not Tested"
210063,"AZ","Saguaro Lake","BOATERS CAMPGROUND","S-BC",2021-02-03,"2021","February","1118","0.45189898762346409","Positive","Not Tested","Not Tested","Not Tested"
210064,"AZ","Saguaro Lake","MARINA","S-MD",2021-02-03,"2021","February","0","0","Negative","Not Tested","Not Tested","Not Tested"
210065,"AZ","Saguaro Lake","BOAT RAMP","S-BR",2021-02-03,"2021","February","6","2.425218180447929E-3","Positive","Not Tested","Not Tested","Not Tested"
210066,"AZ","Canyon Lake","BELOW DAM","C-BD",2021-02-03,"2021","February","3610","5.1071052849932643","Positive","Not Tested","Not Tested","Not Tested"
210067,"AZ","Canyon Lake","BEER CAN FLATS","C-BCF",2021-02-03,"2021","February","5350","2.5229005793826369","Positive","Not Tested","Not Tested","Not Tested"
210068,"AZ","Canyon Lake","DAM  0-5 M","C-D",2021-02-03,"2021","February","400","0.2263536968418067","Positive","Not Tested","Not Tested","Not Tested"
210069,"AZ","Canyon Lake","DAM  5-29 M","C-D",2021-02-03,"2021","February","1015","0.10256651888144366","Positive","Not Tested","Not Tested","Not Tested"
210070,"AZ","Canyon Lake","MARINA","C-M",2021-02-03,"2021","February","438","0.24785729804177833","Positive","Not Tested","Not Tested","Not Tested"
210080,"AZ","Bartlett Reservoir","BOATERS CAMPGROUND","B-BC",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210081,"AZ","Bartlett Reservoir","DAM","B-D",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210082,"AZ","Bartlett Reservoir","MARINA","B-M",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210083,"AZ","Bartlett Reservoir","BOAT RAMP","B-MBL",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210086,"AZ","Theodore Roosevelt Lake","WINDY HILL","R-WH",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210087,"AZ","Theodore Roosevelt Lake","MARINA","R-M",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210088,"AZ","Theodore Roosevelt Lake","DAM","R-D",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210089,"AZ","Theodore Roosevelt Lake","CHOLLA RECREATION SITE","R-CRS",2021-03-03,"2021","March","0","0","Negative","Negative","Negative","Not Tested"
210090,"AZ","Apache Lake","DAM","A-D",2021-03-03,"2021","March","8550","Missing","Positive","Not Tested","Not Tested","Not Tested"
210091,"AZ","Apache Lake","DAM 5 M","A-D",2021-03-03,"2021","March","324","Missing","Positive","Not Tested","Not Tested","Not Tested"
210092,"AZ","Apache Lake","MARINA","A-M",2021-03-03,"2021","March","832","Missing","Positive","Not Tested","Not Tested","Not Tested"
210093,"AZ","Apache Lake","BURNT HORSE CORRAL","A-BHC",2021-03-03,"2021","March","103","Missing","Positive","Not Tested","Not Tested","Not Tested"
