"Station_ID","Sample_Date","Sample_Year","Sample_Month","Sample_Time","Sample_Depth_m","Genus","Division","Tally","Density_cells.L","Total_BV_um3.L","NOTES"
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Cocconeis placentula","Bacillariophyta",1,7263.80057803468,9270577.57354137,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Encyonema minutum","Bacillariophyta",1,400.003978911768,464038.53974973,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Fragilaria capucina","Bacillariophyta",2,171116.595744681,47575669.4632596,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Fragilaria crotonensis","Bacillariophyta",2,14527.6011560694,11227382.5629104,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Nitzschia acicularis","Bacillariophyta",2,171116.595744681,29260937.8723404,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Planothidium lanceolatum","Bacillariophyta",1,7263.80057803468,1951100.01855455,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Rhopalodia gibba","Bacillariophyta",1,400.003978911768,2108330.29750152,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Staurosirella pinnata","Bacillariophyta",13,1112257.87234043,157241619.412468,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Stephanodiscus parvus","Bacillariophyta",6,513349.787234043,79023993.3457532,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Synedra tenera","Bacillariophyta",5,427791.489361702,71565096.0146489,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Chlamydomonas sp.","Chlorophyta",2,171116.595744681,130093921.018179,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Scenedesmus communis","Chlorophyta",36,3080098.72340426,443502003.471064,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Cryptomonas erosa","Cryptophyta",2,171116.595744681,403900410.43385,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Plagioselmis nannoplanctica","Cryptophyta",29,2481190.63829787,210461859.828996,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Rhodomonas lacustris","Cryptophyta",8,684466.382978724,807800820.867699,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Anabaenopsis circularis","Cyanobacteria",38,3251215.31914894,510699276.724255,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Aphanizomenon sp.","Cyanobacteria",343,29346496.1702128,5185949563.31505,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",1422,121663899.574468,70232574086.0381,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Planktolyngbya limnetica","Cyanobacteria",1474,126112931.06383,1980975615.50409,NA
"A-BHC",2021-04-21,"2021","April","15:30","0-5","Raphidiopsis curvata","Cyanobacteria",124,10609228.9361702,33329847.533583,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Nitzschia acicularis","Bacillariophyta",1,85558.2978723404,17453892.7659574,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Nitzschia inconspicua","Bacillariophyta",3,256674.893617021,12320394.893617,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Rhopalodia gibba","Bacillariophyta",1,400.003978911768,5950898.38425562,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Staurosirella pinnata","Bacillariophyta",7,598908.085106383,155225701.214872,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Synedra tenera","Bacillariophyta",2,171116.595744681,24594202.0106681,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Synedra ulna","Bacillariophyta",1,400.003978911768,2463031.06021446,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Chlamydomonas sp.","Chlorophyta",6,513349.787234043,503173182.119898,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Chlorella sp.","Chlorophyta",23,1967840.85106383,128794773.735284,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Scenedesmus communis","Chlorophyta",32,2737865.53191489,394224003.08539,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Sphaerocystis schroeteri","Chlorophyta",4,29055.2023121387,5218146.63831744,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Tetraedron minimum","Chlorophyta",1,7263.80057803468,726380.057803468,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Cryptomonas erosa","Cryptophyta",5,427791.489361702,1009751026.08462,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Plagioselmis nannoplanctica","Cryptophyta",62,5304614.46808511,680484387.143986,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Rhodomonas lacustris","Cryptophyta",8,684466.382978724,666238565.214309,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Anabaenopsis circularis","Cyanobacteria",19,1625607.65957447,255349638.362128,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Aphanizomenon sp.","Cyanobacteria",213,18223917.4468085,2862603840.58596,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",1360,116359285.106383,5117744330.96306,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Planktolyngbya limnetica","Cyanobacteria",842,72040086.8085106,1810563330.53399,NA
"A-M",2021-04-21,"2021","April","14:15","0-5","Raphidiopsis curvata","Cyanobacteria",61,5219056.17021277,16396134.6737787,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Encyonema minutum","Bacillariophyta",2,800.007957823535,403230.748911076,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Fragilaria capucina","Bacillariophyta",3,128337.446808511,37496078.4752809,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Nitzschia acicularis","Bacillariophyta",1,7263.80057803468,1460023.91618497,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Rhopalodia gibba","Bacillariophyta",1,400.003978911768,1008083.7242839,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Synedra tenera","Bacillariophyta",24,1026699.57446809,145146110.226894,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Chlamydomonas sp.","Chlorophyta",4,171116.595744681,440186937.990573,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Chlorella sp.","Chlorophyta",7,299454.042553192,19599204.6988475,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Scenedesmus communis","Chlorophyta",32,1368932.76595745,197112001.542695,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Tetraedron minimum","Chlorophyta",1,7263.80057803468,726380.057803468,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Cryptomonas erosa","Cryptophyta",1,42779.1489361702,100975102.608462,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Plagioselmis nannoplanctica","Cryptophyta",47,2010620,257925533.836833,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Rhodomonas lacustris","Cryptophyta",13,556128.936170213,656338166.955006,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Anabaenopsis circularis","Cyanobacteria",29,1240595.31914894,219231103.988537,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Aphanizomenon sp.","Cyanobacteria",303,12962082.1276596,2036077379.5717,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Cylindrospermopsis raciborskii","Cyanobacteria",1100,47057063.8297872,1921842015.04128,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Planktolyngbya limnetica","Cyanobacteria",668,28576471.4893617,718204456.530111,NA
"A-TMI",2021-04-21,"2021","April","12:30","0-5","Raphidiopsis curvata","Cyanobacteria",47,2010620,6316543.6858,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Encyonema minutum","Bacillariophyta",2,8555.82978723404,4312424.16893941,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Fragilaria capucina","Bacillariophyta",6,25667.4893617021,17175623.0435157,NA
"B-D",2021-04-20,"2021","April","13:45","0-5","Synedra ulna","Bacillariophyta",1,7263.80057803468,12596575.5583873,NA
