"Lab_Number","Station_ID","Sampled_by","Sample_Date","Sample_Time","Date_received","Sample_Year","Sample_Month","EC_uS.cm","pH","TDS_ppm","Sum_TDS_ppm","TSS_ppm","Na_ppm","K_ppm","Ca_ppm","Mg_ppm","CO3_ppm","HCO3_ppm","Alk_ppm","Cl_ppm","SO4_ppm","SiO2_ppm","F_ppm","Total_P","Total_Dissolved_P","NH3_N","NO3_NO2_asN","Total_N","As","Be","Cd","Cr","Cu","Mn","Mo","Ni","Pb","Zn","Al","Fe","Se"
220052,"A-BHC-S","RQ",2022-01-11,"1810",2022-01-13,"2022","January",1414,7.8,747,761.301,3.42465753424658,217.1,8.44,53.23,15.2,1.4,176.656,144.8,324,38.6,17.67,0.23,0.0547,0.0196,0.0249,0.181,0.608,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220053,"A-BHC-B","RQ",2022-01-11,"1815",2022-01-13,"2022","January",1407,7.75,727,756.807,51.1111111111111,215.1,5.67,52.28,15.42,1.4,181.536,148.8,322,38.9,17.99,0.21,0.1214,0.0278,0.0673,0.167,0.774,30.7,3.36,7.04,5.44,0.57,33.18,4.06,7.66,29,544,181,6.7,27.8
220054,"A-D-S","RQ",2022-01-11,"1650",2022-01-13,"2022","January",1397,7.79,749,753.166,2.41758241758244,216.7,5.69,52.52,15.14,1.4,173.728,142.4,321,38.5,17.95,0.21,0.0529,0.0309,0.0108,0.226,0.559,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220055,"A-D-B","RQ",2022-01-11,"1700",2022-01-13,"2022","January",1388,7.82,747,758.981,2.44897959183674,219.4,5.73,53.52,15.32,1.4,179.584,147.2,320,38.4,18.07,0.2,0.0535,0.0327,0.0138,0.221,0.546,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220056,"A-M-S","RQ",2022-01-11,"1730",2022-01-13,"2022","January",1397,7.86,751,758.792,2.7659574468085,218.2,5.69,53.83,15.23,1.4,174.704,143.2,323,38.8,17.88,0.2,0.0518,0.0309,0.0086,0.242,0.545,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220057,"A-M-B","RQ",2022-01-11,"1740",2022-01-13,"2022","January",1401,7.89,742,763.238,2,220,5.6,53.63,15.17,1.4,178.608,146.4,324,38.8,18.01,0.21,0.0487,0.0296,0.0103,0.188,0.522,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220058,"B-BC-S","RQ",2022-01-10,"1500",2022-01-13,"2022","January",576,8.04,325,346.122,5.05263157894735,37.12,3.74,48.43,31.48,1.4,259.616,212.8,25.1,53.2,19.18,0.28,0.0633,0.0281,0.0452,0.192,0.843,30.7,3.36,7.04,5.44,2.06,14.2,4.06,7.66,29,544,181,1.63,27.8
220059,"B-BC-B","RQ",2022-01-10,"1515",2022-01-13,"2022","January",558,8.16,323,336.948,16.4444444444444,34.51,3.6,47.28,31.13,1.4,264.496,216.8,21.4,49.1,19.66,0.27,0.0813,0.053,0.0294,0.188,0.512,30.7,3.36,7.04,5.44,1.81,14.2,4.06,7.66,29,544,181,1.63,27.8
220060,"B-D-S","RQ",2022-01-10,"1710",2022-01-13,"2022","January",581,8.21,334,350.803,2,36.28,3.83,48.23,32.12,1.4,274.256,224.8,22.8,53.1,19.28,0.3,0.0506,0.0299,0.0125,0.283,0.612,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220061,"B-D-B","RQ",2022-01-10,NA,2022-01-13,"2022","January",541,8.07,298,327.297,6.38297872340426,32.78,3.37,45.55,29.61,1.4,259.616,212.8,20.5,46.9,20.68,0.29,0.0484,0.0302,0.0467,0.227,0.639,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,6.3,27.8
220062,"B-M-S","RQ",2022-01-10,"1800",2022-01-13,"2022","January",587,8.07,357,352.726,2.68041237113404,36.48,3.86,48.23,32.53,1.4,277.184,227.2,22.7,52.8,19.53,0.28,0.0491,0.0286,0.0118,0.276,0.997,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,1.63,27.8
220063,"B-M-B","RQ",2022-01-10,"1810",2022-01-13,"2022","January",554,8.09,322,338.755,5.77319587628865,33.88,3.58,46.84,30.75,1.4,271.328,222.4,21.1,48.7,20.22,0.29,0.06,0.0334,0.0306,0.245,0.735,30.7,3.36,7.04,5.44,0.57,14.2,4.06,7.66,29,544,181,9.8,27.8
220064,"B-MBL-S","RQ",2022-01-10,"1645",2022-01-13,"2022","January",584,8.14,332,352.844,3.125,37.09,3.87,49.32,32.46,1.4,269.376,220.8,23.5,54.59,19.29,0.295,0.0504,0.0296,0.0068,0.244,0.752,30.7,3.36,7.04,5.44,0.71,14.2,4.06,7.66,29,544,181,2.9,27.8
