"Station_ID","Sample_Date","Sample_Year","Sample_Month","Sample_Time","Microcycstis","Genus","Species","Division","Tow_length_m","Net_radius_cm","Tow_vol_filtered_L","Total_sample_vol_mL","Aliquot_mL","Count_factor","Indiv_counted","Indiv_per_L","Biomass_factor","Species_biomass_ugDW.L","Comments"
"A-BHC",2021-04-21,"2021","April","15:30","none","Chydorus","sphaericus","Cladocera",10,6,113.0976,124,3,0.365466051740562,3,1.09639815522168,0.260456408967036,0.285563926307123,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","nauplii",NA,"Copepoda",10,6,113.0976,124,3,0.365466051740562,63,23.0243612596554,0.0294263709884027,0.677523396197625,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","Cephalodella","spp.","Rotifera",10,6,113.0976,124,3,0.365466051740562,1,0.365466051740562,0.0138752757,0.00507094222689076,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","Keratella","cochlearis","Rotifera",10,6,113.0976,124,3,0.365466051740562,5,1.82733025870281,0.0021346578,0.00390072478991597,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","Keratella","cochlearis var. tecta","Rotifera",10,6,113.0976,124,3,0.365466051740562,26,9.5021173452546,0.0010929447936,0.0103852896806723,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","Monostyla","closterocerca","Rotifera",10,6,113.0976,124,3,0.365466051740562,1,0.365466051740562,0.003660938127,0.00133794860294118,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","Polyarthra","vulgaris","Rotifera",10,6,113.0976,124,3,0.365466051740562,10,3.65466051740562,0.0217863175068,0.0796215944117648,"na"
"A-BHC",2021-04-21,"2021","April","15:30","none","Synchaeta","spp.","Rotifera",10,6,113.0976,124,3,0.365466051740562,135,49.3379169849758,0.0042469016931,0.209533283177521,"na"
"A-M",2021-04-21,"2021","April","14:15","none","Alona","affinis","Cladocera",10,6,113.0976,135,1.9,0.628241727312935,1,0.628241727312935,2.39175964184254,1.50260320870852,"na"
"A-M",2021-04-21,"2021","April","14:15","none","Camptocercus","spp.","Cladocera",10,6,113.0976,135,1.9,0.628241727312935,1,0.628241727312935,2.94121526121588,1.84779415610543,"na"
"A-M",2021-04-21,"2021","April","14:15","none","ostracod",NA,"Ostracoda",10,6,113.0976,135,1.9,0.628241727312935,1,0.628241727312935,0.0388716303737098,0.0244207802094494,"na"
"A-M",2021-04-21,"2021","April","14:15","none","cyclopoid","copepodid","Copepoda",10,6,113.0976,135,1.9,0.628241727312935,1,0.628241727312935,0.838144539865081,0.526557373462743,"na"
"A-M",2021-04-21,"2021","April","14:15","none","harpacticoid",NA,"Copepoda",10,6,113.0976,135,1.9,0.628241727312935,1,0.628241727312935,0.236756077164198,0.14874004686947,"na"
"A-M",2021-04-21,"2021","April","14:15","none","nauplii",NA,"Copepoda",10,6,113.0976,135,1.9,0.628241727312935,44,27.6426360017691,0.0345930798630696,0.956243914834963,"na"
"A-M",2021-04-21,"2021","April","14:15","none","Keratella","cochlearis","Rotifera",10,6,113.0976,135,1.9,0.628241727312935,10,6.28241727312935,0.0028412295318,0.0178497894875055,"na"
"A-M",2021-04-21,"2021","April","14:15","none","Keratella","cochlearis var. tecta","Rotifera",10,6,113.0976,135,1.9,0.628241727312935,74,46.4898878211572,0.00122155792605,0.0567900909491099,"na"
"A-M",2021-04-21,"2021","April","14:15","none","Polyarthra","vulgaris","Rotifera",10,6,113.0976,135,1.9,0.628241727312935,11,6.91065900044228,0.0153012271104,0.105741562848297,"na"
"A-M",2021-04-21,"2021","April","14:15","none","Synchaeta","spp.","Rotifera",10,6,113.0976,135,1.9,0.628241727312935,78,49.0028547304089,0.004062520625625,0.199075108056792,"na"
"A-M",2021-04-21,"2021","April","14:15","none","veliger","quagga","Bivalvia",10,6,113.0976,135,1.9,0.628241727312935,2,1.25648345462587,0.002740162724471,0.00344296912628036,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","Alona","spp.","Cladocera",14,6,158.33664,80,4,0.126313151523236,1,0.126313151523236,0.899864615169075,0.113664735486249,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","Bosmina","longirostris","Cladocera",14,6,158.33664,80,4,0.126313151523236,19,2.39994987894148,1.69988414983528,4.07963675961172,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","cyclopoid","copepodid","Copepoda",14,6,158.33664,80,4,0.126313151523236,18,2.27363672741824,0.282908191608573,0.643230454928729,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","Diacyclops","thomasi","Copepoda",14,6,158.33664,80,4,0.126313151523236,5,0.631565757616178,1.24171719406694,0.784226060415921,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","nauplii",NA,"Copepoda",14,6,158.33664,80,4,0.126313151523236,37,4.67358660635972,0.0280510335722752,0.131098934797932,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","Keratella","cochlearis","Rotifera",14,6,158.33664,80,4,0.126313151523236,6,0.757878909139413,0.0028412295318,0.00215330793817527,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","Keratella","cochlearis var. tecta","Rotifera",14,6,158.33664,80,4,0.126313151523236,15,1.89469727284853,0.0010929447936,0.00207079951980792,"na"
"A-TMI",2021-04-21,"2021","April","12:30","none","Polyarthra","vulgaris","Rotifera",14,6,158.33664,80,4,0.126313151523236,2,0.252626303046471,0.0102506267556,0.00258957794117647,"na"
